column,reason
loan_status,target source (dropped after target construction)
out_prncp,leaky: repayment activity (post-disbursement)
out_prncp_inv,leaky: repayment activity (post-disbursement)
total_pymnt,leaky: repayment activity (post-disbursement)
total_pymnt_inv,leaky: repayment activity (post-disbursement)
total_rec_prncp,leaky: repayment activity (post-disbursement)
total_rec_int,leaky: repayment activity (post-disbursement)
total_rec_late_fee,leaky: repayment activity (post-disbursement)
recoveries,leaky: repayment activity (post-disbursement)
collection_recovery_fee,leaky: repayment activity (post-disbursement)
last_pymnt_d,leaky: repayment activity (post-disbursement)
last_pymnt_amnt,leaky: repayment activity (post-disbursement)
next_pymnt_d,leaky: repayment activity (post-disbursement)
pymnt_plan,leaky: repayment activity (post-disbursement)
last_credit_pull_d,leaky: credit data refreshed post-origination
last_fico_range_high,leaky: credit data refreshed post-origination
last_fico_range_low,leaky: credit data refreshed post-origination
hardship_flag,leaky: hardship programme (post-distress)
hardship_type,leaky: hardship programme (post-distress)
hardship_reason,leaky: hardship programme (post-distress)
hardship_status,leaky: hardship programme (post-distress)
deferral_term,leaky: hardship programme (post-distress)
hardship_amount,leaky: hardship programme (post-distress)
hardship_start_date,leaky: hardship programme (post-distress)
hardship_end_date,leaky: hardship programme (post-distress)
payment_plan_start_date,leaky: hardship programme (post-distress)
hardship_length,leaky: hardship programme (post-distress)
hardship_dpd,leaky: hardship programme (post-distress)
hardship_loan_status,leaky: hardship programme (post-distress)
orig_projected_additional_accrued_interest,leaky: hardship programme (post-distress)
hardship_payoff_balance_amount,leaky: hardship programme (post-distress)
hardship_last_payment_amount,leaky: hardship programme (post-distress)
debt_settlement_flag,leaky: debt settlement (post-default)
id,identifier or free text (not used by base paper)
url,identifier or free text (not used by base paper)
title,identifier or free text (not used by base paper)
emp_title,identifier or free text (not used by base paper)
zip_code,identifier or free text (not used by base paper)
funded_amnt_inv,leaky: investor funding mechanics
verification_status_joint,100.0% missing (>40%)
sec_app_revol_util,96.8% missing (>40%)
revol_bal_joint,96.8% missing (>40%)
sec_app_open_act_il,96.8% missing (>40%)
sec_app_inq_last_6mths,96.8% missing (>40%)
sec_app_fico_range_low,96.8% missing (>40%)
sec_app_collections_12_mths_ex_med,96.8% missing (>40%)
sec_app_mort_acc,96.8% missing (>40%)
sec_app_open_acc,96.8% missing (>40%)
sec_app_num_rev_accts,96.8% missing (>40%)
sec_app_fico_range_high,96.8% missing (>40%)
sec_app_chargeoff_within_12_mths,96.8% missing (>40%)
dti_joint,96.2% missing (>40%)
annual_inc_joint,96.2% missing (>40%)
mths_since_last_record,83.4% missing (>40%)
mths_since_recent_bc_dlq,76.6% missing (>40%)
mths_since_last_major_derog,73.9% missing (>40%)
mths_since_recent_revol_delinq,66.9% missing (>40%)
il_util,52.9% missing (>40%)
mths_since_last_delinq,50.8% missing (>40%)
mths_since_rcnt_il,46.8% missing (>40%)
all_util,45.2% missing (>40%)
total_cu_tl,45.2% missing (>40%)
inq_last_12m,45.2% missing (>40%)
open_acc_6m,45.2% missing (>40%)
max_bal_bc,45.2% missing (>40%)
open_rv_24m,45.2% missing (>40%)
open_rv_12m,45.2% missing (>40%)
total_bal_il,45.2% missing (>40%)
open_il_24m,45.2% missing (>40%)
open_il_12m,45.2% missing (>40%)
open_act_il,45.2% missing (>40%)
inq_fi,45.2% missing (>40%)
